Nom,latitude,longitude,code_postal
LABEAUME,44.468118973,4.310334586,07120
LABEGUDE,44.64183346,4.357696736,07200
LABLACHERE,44.460171131,4.214090624,07230
LALOUVESC,45.115732207,4.525772675,07520
LANARCE,44.72930042,3.997015383,07660
LARNAS,44.45379344,4.596055727,07220
LAVEYRUNE,44.620473795,3.918933085,48250
LIMONY,45.353708943,4.750060095,07340
MARS,45.010738639,4.328992405,07320
MEYSSE,44.619505029,4.716451816,07400
MEZILHAC,44.807097908,4.341776417,07530
MIRABEL,44.596392975,4.496760045,07170
LES OLLIERES SUR EYRIEUX,44.810071715,4.61977382,07360
PEREYRES,44.779771619,4.260976167,07450
LE PLAGNAL,44.693890257,3.950880441,07590
LE POUZIN,44.752015583,4.748353027,07250
PRANLES,44.780794948,4.574562993,07000
SAGNES ET GOUDOULET,44.801546167,4.215917737,07450
ST ANDEOL DE BERG,44.529638784,4.536754116,07170
ST BASILE,44.949261042,4.560977036,07270
ST BAUZILE,44.672996202,4.669053018,07210
ST CIERGE LA SERRE,44.793290056,4.680092378,07800
ST CLAIR,45.276225779,4.686940209,07430
ST CLEMENT,44.950145088,4.260718233,07310
ST FELICIEN,45.077434211,4.610718321,07410
ST FORTUNAT SUR EYRIEUX,44.835429752,4.689754925,07360
ST GENEST LACHAMP,44.844258846,4.424403779,07160
ST GEORGES LES BAINS,44.859122391,4.809851418,07800
ST JACQUES D ATTICIEUX,45.332567277,4.663443491,07340
ST JEAN ROURE,44.955207017,4.419024919,07160
ST JULIEN DU SERRE,44.66012841,4.403997149,07200
ST JULIEN VOCANCE,45.16699845,4.487634915,07690
STE MARGUERITE LAFIGERE,44.484727409,3.998022927,07140
ST MICHEL D AURANCE,44.898725602,4.455641016,07160
ST MICHEL DE CHABRILLANOUX,44.837343749,4.612979218,07360
ST MONTAN,44.434121512,4.632377343,07220
ST PIERRE DE COLOMBIER,44.710459534,4.265876526,07450
ST PIERRE SUR DOUX,45.12846381,4.485211884,07520
ST PONS,44.59890986,4.572229919,07580
ST PRIEST,44.71319196,4.535458567,07000
ST SYLVESTRE,44.988208879,4.75021471,07440
ST VINCENT DE BARRES,44.657727177,4.707497122,07210
SCEAUTRES,44.616754707,4.607483029,07400
LA SOUCHE,44.627621768,4.162574958,07380
VAGNAS,44.359508765,4.343921522,07150
VALGORGE,44.594654023,4.111714421,07110
VALS LES BAINS,44.666938134,4.343352653,07600
VAUDEVANT,45.108556695,4.607654576,07410
VEYRAS,44.734370979,4.556524963,07000
VIVIERS,44.483128112,4.66988097,07220
ALINCOURT,49.402944699,4.345179699,08310
ARNICOURT,49.553854663,4.341031209,08300
AUSSONCE,49.346131291,4.327083194,08310
AUTHE,49.460103253,4.877701286,08240
AUVILLERS LES FORGES,49.86643297,4.361004681,08260
BAALONS,49.601809848,4.666659115,08430
BANOGNE RECOUVRANCE,49.570655686,4.132933799,08220
BARBAISE,49.676518341,4.579500889,08430
BAR LES BUZANCY,49.446027985,4.957194987,08240
BAZEILLES,49.717119842,5.028978798,08140
BERTONCOURT,49.539257313,4.401767277,08300
BLANZY LA SALONNAISE,49.487391362,4.190123718,08190
BLOMBAY,49.815646159,4.45378462,08260
BOSSUS LES RUMIGNY,49.839352379,4.255953601,08290
BOUVELLEMONT,49.584102941,4.664961104,08430
BRIENNE SUR AISNE,49.426135017,4.062792072,08190
CHARDENY,49.419323662,4.594755074,08400
